driving_frequency,fs_adj,nperseg,nfft,peak_freq_top,peak_val_top,peak_freq_bot,peak_val_bot,peak_freq_trans,peak_val_trans
35.0,4200.0,120,120,35.0,6.893696161529347e-11,35.0,2.854912983020372e-11,1785.0,1.435663526252244
36.205489850273935,4199.836822631776,116,116,36.20548985027393,3.2513424878104635e-11,36.20548985027393,1.3186269359632367e-11,1774.0690026634225,1.4961590031497873
37.45249986566539,2996.1999892532313,80,80,37.45249986566539,2.0039832474048523e-11,37.45249986566539,6.217587153192386e-12,1273.384995432623,1.3781267897750964
38.74246010724952,4804.06505329894,124,124,38.74246010724952,6.122775402489051e-11,38.74246010724952,1.492390716508306e-11,2014.607925576975,1.5204324315611293
40.076849891076144,11982.978117431767,299,299,40.076849891076144,2.395716260486825e-10,40.076849891076144,5.1599411862880704e-11,1122.151796950132,3.5957315744966647
41.45719948463741,11400.729858275286,275,275,41.4571994846374,2.557953259104501e-10,41.4571994846374,4.6588571899771185e-11,1077.8871866005725,2.6402112698816493
42.8850918617663,3602.347716388369,84,84,42.8850918617663,4.2817432903718347e-11,42.8850918617663,6.528114850977361e-12,1543.8633070235867,1.1314952929270925
44.36216451797842,11401.076281120455,257,257,44.36216451797842,2.924154642994142e-10,44.36216451797842,3.928354093755328e-11,1064.6919484314822,3.044620263056436
45.89011134833857,7801.3189292175575,170,170,45.89011134833857,2.2699553286616393e-10,45.89011134833857,2.5960518353968987e-11,734.2417815734171,1.891899131913941
47.47068459000607,6598.425158010844,139,139,47.47068459000607,1.9894257341625984e-10,47.47068459000607,1.9490069443065714e-11,2800.770390810358,2.0106338694528536
49.10569683168629,5401.6266514854915,110,110,49.105696831686295,1.6027637310829116e-10,49.105696831686295,1.3400510015718075e-11,2307.9677510892557,0.9470834343060947
50.79702309229273,9600.637364443326,189,189,50.79702309229273,4.880456936112088e-10,50.79702309229273,3.5418031585116694e-11,914.3464156612692,2.5965474663851356
52.54660297120385,7198.884607054928,137,137,52.54660297120385,3.934464775323255e-10,52.54660297120385,2.4623502760320977e-11,3047.7029723298233,1.3284801854219133
54.356442872579855,12012.773874840148,221,221,54.356442872579855,8.113269369529624e-10,54.356442872579855,4.461103674108575e-11,1141.485300324177,1.7231250255712942
56.22861830629096,3598.6315716026215,64,64,56.22861830629097,1.567918899480688e-10,56.22861830629097,7.541642092559163e-12,1518.172694269856,0.5467238903774169
