frequencies,means,stds
1,1.07E-12,0
1.072267222,3.39E-13,0
1.149756995,1.24E-13,0
1.232846739,6.72E-14,0
1.321941148,4.46E-14,0
1.417474163,1.30E-14,0
1.519911083,1.45E-14,0
1.629750835,6.62E-14,0
1.7475284,6.89E-15,0
1.873817423,2.58E-15,0
2.009233003,2.84E-15,0
2.15443469,8.42E-16,0
2.3101297,2.44E-15,0
2.477076356,3.80E-15,0
2.656087783,3.42E-16,0
2.848035868,1.05E-15,0
3.053855509,9.68E-16,0
3.274549163,2.55E-15,0
3.511191734,9.37E-16,0
3.764935807,8.47E-16,0
4.037017259,2.87E-16,0
4.328761281,3.12E-16,0
4.641588834,9.95E-16,0
4.977023564,2.80E-15,0
5.336699231,3.04E-15,0
5.722367659,4.51E-15,0
6.135907273,1.21E-14,0
6.579332247,3.56E-14,0
7.054802311,5.31E-14,0
7.564633276,1.38E-13,0
8.111308308,2.08E-13,0
8.697490026,3.72E-13,0
9.326033469,1.03E-12,0
10,3.15E-12,0
10.72267222,4.65E-12,0
11.49756995,8.10E-12,0
12.32846739,3.04E-11,0
13.21941148,5.36E-11,0
14.17474163,1.10E-10,0
15.19911083,3.02E-10,0
16.29750835,1.62E-09,0
17.475284,2.37E-09,0
18.73817423,2.82E-09,0
20.09233003,8.16E-10,0
21.5443469,7.81E-10,0
23.101297,6.51E-10,0
24.77076356,4.02E-10,0
26.56087783,5.80E-10,0
28.48035868,7.84E-10,0
30.53855509,9.19E-10,0
32.74549163,6.12E-10,0
35.11191734,1.30E-09,0
37.64935807,1.55E-09,0
40.37017259,3.37E-09,0
43.28761281,4.10E-09,0
46.41588834,1.05E-08,0
49.77023564,1.39E-08,0
53.36699231,4.47E-08,0
57.22367659,3.38E-08,0
61.35907273,5.57E-08,0
65.79332247,4.05E-08,0
70.54802311,3.79E-08,0
75.64633276,1.89E-08,0
81.11308308,1.90E-08,0
86.97490026,2.65E-08,0
93.26033469,1.84E-08,0
100,1.88E-08,0
107.2267222,1.36E-08,0
114.9756995,1.55E-08,0
123.2846739,1.30E-08,0
132.1941148,7.76E-09,0
141.7474163,9.21E-09,0
151.9911083,6.41E-09,0
162.9750835,9.57E-10,0
174.75284,3.42E-09,0
187.3817423,8.42E-10,0
200.9233003,1.08E-09,0
215.443469,2.86E-10,0
231.01297,8.85E-12,0
247.7076356,6.86E-10,0
265.6087783,2.08E-09,0
284.8035868,1.81E-09,0
305.3855509,1.43E-09,0
327.4549163,8.75E-10,0
351.1191734,1.67E-09,0
376.4935807,1.22E-09,0
403.7017259,8.03E-10,0
432.8761281,6.06E-10,0
464.1588834,7.98E-10,0
497.7023564,4.98E-10,0
533.6699231,4.16E-10,0
572.2367659,4.23E-10,0
613.5907273,2.50E-10,0
657.9332247,2.87E-11,0
705.4802311,1.17E-10,0
756.4633276,6.63E-11,0
811.1308308,1.57E-10,0
869.7490026,1.43E-10,0
932.6033469,2.11E-10,0
1000,3.96E-11,0
