1_force,2_displacement,1_force_converted,2_force_converted
8627,8627,,
8636,8636,,
8602,8602,,
8619,8619,,
8627,8627,,
8649,8649,,
8621,8621,,
8634,8634,,
8652,8652,,
8638,8638,,
8660,8660,,
8675,8675,,
8657,8657,,
8627,8627,,
8644,8644,,
8597,8597,,
8627,8627,,
8634,8634,,
8639,8639,,
8636,8636,,
8651,8651,,
8617,8617,,
8639,8639,,
8654,8654,,
8678,8678,,
8627,8627,,
8634,8634,,
8652,8652,,
8643,8643,,
8627,8627,,
8614,8614,,
8652,8652,,
8634,8634,,
8651,8651,,
8601,8601,,
8643,8643,,
8649,8649,,
8678,8678,,
8654,8654,,
8658,8658,,
8635,8635,,
8625,8625,,
8598,8598,,
8651,8651,,
8630,8630,,
8629,8629,,
8649,8649,,
8623,8623,,
8641,8641,,
8651,8651,,
8667,8667,,
8636,8636,,
8668,8668,,
8603,8603,,
8609,8609,,
8612,8612,,
8616,8616,,
8601,8601,,
8641,8641,,
8630,8630,,
8641,8641,,
8627,8627,,
8652,8652,,
8625,8625,,
8667,8667,,
8639,8639,,
8607,8607,,
8619,8619,,
8624,8624,,
8634,8634,,
8630,8630,,
8640,8640,,
8597,8597,,
8631,8631,,
8632,8632,,
8656,8656,,
8642,8642,,
8634,8634,,
8623,8623,,
8623,8623,,
8619,8619,,
8627,8627,,
8599,8599,,
8591,8591,,
8616,8616,,
8581,8581,,
8597,8597,,
8640,8640,,
8663,8663,,
8627,8627,,
8630,8630,,
8612,8612,,
8627,8627,,
8621,8621,,
8632,8632,,
8620,8620,,
8616,8616,,
8628,8628,,
8594,8594,,
8641,8641,,
8674,8674,,
8663,8663,,
8654,8654,,
8638,8638,,
8590,8590,,
8619,8619,,
8629,8629,,
8643,8643,,
8629,8629,,
8629,8629,,
8627,8627,,
8632,8632,,
8652,8652,,
8671,8671,,
8649,8649,,
8666,8666,,
8645,8645,,
8617,8617,,
8627,8627,,
8640,8640,,
8658,8658,,
8619,8619,,
8638,8638,,
8609,8609,,
8637,8637,,
8643,8643,,
8663,8663,,
8652,8652,,
8651,8651,,
8636,8636,,
8665,8665,,
8658,8658,,
8640,8640,,
8607,8607,,
8638,8638,,
8647,8647,,
8620,8620,,
8629,8629,,
8643,8643,,
8675,8675,,
8656,8656,,
8661,8661,,
8612,8612,,
8643,8643,,
8623,8623,,
8625,8625,,
8597,8597,,
8636,8636,,
8632,8632,,
8629,8629,,
8636,8636,,
8660,8660,,
8632,8632,,
8640,8640,,
8652,8652,,
8621,8621,,
8630,8630,,
8612,8612,,
8641,8641,,
8604,8604,,
8609,8609,,
8599,8599,,
8630,8630,,
8635,8635,,
8652,8652,,
8630,8630,,
8638,8638,,
8669,8669,,
8618,8618,,
8618,8618,,
8636,8636,,
8616,8616,,
8610,8610,,
8608,8608,,
8605,8605,,
8630,8630,,
8618,8618,,
8630,8630,,
8632,8632,,
8669,8669,,
8605,8605,,
8619,8619,,
8630,8630,,
8645,8645,,
8621,8621,,
8606,8606,,
8611,8611,,
8608,8608,,
8610,8610,,
8613,8613,,
8660,8660,,
8652,8652,,
8636,8636,,
8599,8599,,
8628,8628,,
8636,8636,,
8649,8649,,
8616,8616,,
8618,8618,,
8605,8605,,
8619,8619,,
8601,8601,,
8660,8660,,
8652,8652,,
8668,8668,,
8664,8664,,
8638,8638,,
8625,8625,,
8637,8637,,
8641,8641,,
8627,8627,,
8645,8645,,
8594,8594,,
8628,8628,,
8636,8636,,
8663,8663,,
8641,8641,,
8652,8652,,
8646,8646,,
8627,8627,,
8629,8629,,
8649,8649,,
8628,8628,,
8638,8638,,
8632,8632,,
8616,8616,,
8639,8639,,
8640,8640,,
8671,8671,,
8630,8630,,
8663,8663,,
8637,8637,,
8663,8663,,
8660,8660,,
8672,8672,,
8629,8629,,
8625,8625,,
8628,8628,,
8625,8625,,
8634,8634,,
8645,8645,,
8641,8641,,
8644,8644,,
8663,8663,,
8627,8627,,
8638,8638,,
8652,8652,,
8654,8654,,
8609,8609,,
8616,8616,,
8565,8565,,
8619,8619,,
8629,8629,,
8647,8647,,
8634,8634,,
8641,8641,,
8641,8641,,
8627,8627,,
8640,8640,,
8636,8636,,
8624,8624,,
8618,8618,,
8621,8621,,
8577,8577,,
8619,8619,,
8636,8636,,
8663,8663,,
8634,8634,,
8641,8641,,
8606,8606,,
8658,8658,,
8630,8630,,
8638,8638,,
8634,8634,,
8627,8627,,
8621,8621,,
8601,8601,,
8605,8605,,
8614,8614,,
8585,8585,,
8603,8603,,
8644,8644,,
8627,8627,,
8629,8629,,
8641,8641,,
8658,8658,,
8627,8627,,
8630,8630,,
8581,8581,,
8610,8610,,
8610,8610,,
8640,8640,,
8613,8613,,
8639,8639,,
8669,8669,,
8643,8643,,
8636,8636,,
